card_iin,card_issuer,card_network,card_type,card_subtype,card_issuing_country,bank_code_id,bank_code,country_code,date_created,last_updated,last_updated_provider,funding_source,card_iin_type,virtual_card,gambling_blocked,co_badged_card_networks,card_segment_type,numeric_country_code,prepaid,regulated,issuer_phone,issuer_url,regulated_name,reloadable_prepaid,account_updater,account_level_management,domestic_only,level_two_supported,level_three_supported,issuer_currency,combo_card,authentication,cost,issuer_supports_tokenization,billpay_enabled,ecom_enabled,flexible_credential_supported,card_subtype_code,multi_account_access_indicator
111122,,Visa,DEBIT,,,,,,2017-06-18 10:00:39,2025-11-04 15:23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400000,INTL HDQTRS CENTER OWNED,Visa,CREDIT,VISA TRADITIONAL,UNITED STATES OF AMERICA,,,US,2015-08-04 08:50:42,2026-07-17 06:49:57.748,pagos,CREDIT,pan,,true,,Consumer,840,false,false,,,GOVERNMENT EXEMPT INTERCHANGE FEE,false,true,false,false,false,false,,,,[],,false,,,A,N
401200,VISA PRODUCTION SUPPORT CLIENT BID 1,Visa,DEBIT,CLASSIC,UNITEDSTATES,,,US,2015-07-27 12:04:10,2025-11-04 15:23:24,Visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411111,CONOTOXIA SP Z OO,Visa,DEBIT,VISA CLASSIC,POLAND,131,JP_JPM,PL,2015-07-22 23:36:35,2026-07-17 10:16:46.184,pagos,DEBIT,pan,,true,,Consumer,616,false,false,,,GOVERNMENT EXEMPT INTERCHANGE FEE,false,false,false,false,false,false,,,"[{""authentication_name"":""EU PSD2 - SCA""}]",[],,false,,,F,N
41111111,CONOTOXIA SP Z O.O.,Visa,DEBIT,,POLAND,131,JP_JPM,PL,2015-07-22 23:36:35,2026-01-13 09:33:48,pagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420000,JPMORGAN CHASE & CO.,Visa,CREDIT,,UNITEDSTATES,131,JP_JPM,US,2016-05-12 18:37:38,2025-11-04 15:23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424242,STRIPE PAYMENTS UK LIMITED,Visa,CREDIT,,UNITEDKINGDOM,,,GB,2015-07-22 16:41:32,2025-11-04 15:23:24,Visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42424242,STRIPE PAYMENTS UK LIMITED,Visa,CREDIT,,UNITEDKINGDOM,,,GB,2015-07-22 16:41:32,2025-11-04 15:23:24,Visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434994,INTESA SANPAOLO S.P.A.,Visa,CREDIT,CLASSIC,ITALY,,,IT,2015-12-30 17:01:46,2025-11-04 15:23:24,Visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444409,SELECT SEVEN FEDERAL CREDIT UNION,Visa,DEBIT,CLASSIC,UNITEDSTATES,,,US,2016-05-12 18:41:09,2025-11-04 15:23:24,Visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486871,AMERICA FIRST FEDERAL CREDIT UNION,Visa,CREDIT,VISA BUSINESS,UNITED STATES OF AMERICA,,,US,2016-05-12 18:47:21,2026-07-17 08:14:31.272,pagos,CREDIT,pan,,false,,Business,840,false,false,,,GOVERNMENT EXEMPT INTERCHANGE FEE,false,true,true,false,false,false,USD,,,[],,false,,,G,N
491761,BANK POLSKA KASA OPIEKI S.A.,Visa,CREDIT,BUSINESS,POLAND,,,PL,2015-09-07 12:58:50,2025-11-04 15:23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510510,BANK OF HAWAII,Mastercard,CREDIT,,UNITEDSTATES,,,US,2015-07-30 05:18:28,2025-11-04 15:23:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520474,MASTERCARD INTERNATIONAL,Visa,DEBIT,,UNITEDSTATES,,,US,2016-05-12 18:51:16,2025-11-04 15:23:24,Visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378282,AMERICAN EXPRESS US CARS,AmericanExpress,CREDIT,CORPORATE,UNITED STATES OF AMERICA,107,JP_AMEX,US,2015-07-25 06:22:06,2026-07-17 10:27:26.538,pagos,,pan,,,,,840,false,,,,,false,,,,,,,,,[],,,,,AX_CORP,
37828224,AMERICAN EXPRESS US CARS,AmericanExpress,CREDIT,SMALLCORPORATE,UNITED STATES OF AMERICA,107,JP_AMEX,US,2015-07-25 06:22:06,2026-01-13 11:36:56,pagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400934,PT BANK HSBC INDONESIA,Visa,CREDIT,CORPORATET&E,INDONESIA,125,JP_HSBC,ID,2016-05-12 18:34:51,2022-12-12 13:15:35,Visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372688,AMERICAN EXPRESS US CONSUMER,AmericanExpress,CREDIT,CONSUMER,UNITED STATES OF AMERICA,107,JP_AMEX,US,2016-05-12 18:30:42,2026-07-17 06:48:33.039,pagos,,pan,,,,,840,false,,,,,false,,,,,,,,,[],,,,,AX_CONS,
453211,BANCO BRADESCO SA,Visa,CREDIT,VISA PLATINUM,BRAZIL,,,BR,2015-11-05 16:41:53,2026-07-17 07:41:58.312,pagos,CREDIT,pan,,true,,Consumer,076,false,false,,,GOVERNMENT EXEMPT INTERCHANGE FEE,false,false,false,false,false,false,USD,,,[],,false,,,N,N
454881,SERVIRED SOCIEDAD ESPANOLA DE MEDIOS DE PAGO S.A.,Visa,CREDIT,CLASSIC,SPAIN,,,ES,2016-05-12 18:42:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
