connector,flow,sub_flow,code,message,status,router_error,decision,created_at,last_modified,step_up_possible,unified_code,unified_message,error_category,clear_pan_possible,feature_data,feature,standardised_code,description,user_guidance_message
adyen,Payment,Authorize,2,Refused,failure,,retry,2025-12-08 14:59:10,2026-01-05 18:50:40,FALSE,UE_3000,Technical issue with PSP,issue_with_payment_method,FALSE,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,psp_acquirer_error,Temporary acquirer internal error,Something went wrong. Try again or contact your bank
adyen,Payment,CompleteAuthorize,2,Refused,failure,,retry,2025-12-08 15:04:35,2026-01-05 18:50:41,FALSE,UE_3000,Technical issue with PSP,issue_with_payment_method,FALSE,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,psp_acquirer_error,Temporary acquirer internal error,Something went wrong. Try again or contact your bank
adyen,Payment,PSync,2,Refused,failure,,retry,2025-12-08 15:01:32,2026-01-05 18:50:40,FALSE,UE_3000,Technical issue with PSP,issue_with_payment_method,FALSE,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,psp_acquirer_error,Temporary acquirer internal error,Something went wrong. Try again or contact your bank
adyen,Payment,SetupMandate,2,Refused,failure,,retry,2025-12-08 15:03:03,2026-01-05 18:50:40,FALSE,UE_3000,Technical issue with PSP,issue_with_payment_method,FALSE,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,psp_acquirer_error,Temporary acquirer internal error,Something went wrong. Try again or contact your bank
stripe,Payment,Authorize,card_declined,Your card was declined.,failure,,retry,2025-12-02 13:36:57,2026-01-05 19:13:24,FALSE,UE_1000,Issue with Payment Method details,,FALSE,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,payment_method_issue,Issue with Payment Method details,Issue with Payment Method details
stripe,Payment,CompleteAuthorize,card_declined,Your card was declined.,failure,,do_default,2025-12-08 18:00:44,2026-01-05 19:13:25,FALSE,UE_1000,Issue with Payment Method details,,FALSE,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,payment_method_issue,Issue with Payment Method details,Issue with Payment Method details
stripe,Payment,PSync,card_declined,Your card was declined.,failure,,do_default,2025-12-02 13:39:08,2026-01-05 19:13:24,FALSE,UE_1000,Issue with Payment Method details,,FALSE,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,payment_method_issue,Issue with Payment Method details,Issue with Payment Method details
stripe,Payment,SetupMandate,card_declined,Your card was declined.,failure,,do_default,2025-12-02 13:40:40,2026-01-05 19:13:24,FALSE,UE_1000,Issue with Payment Method details,,FALSE,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,payment_method_issue,Issue with Payment Method details,Issue with Payment Method details
stripe,Payment,Authorize,Network:Visa|IssuerCode:01,Network:Visa|IssuerCode:01,failure,,retry,2026-03-24 05:49:43,2026-04-01 14:17:19,false,UE_3000,Technical issue with PSP,,false,"{""retry"": {""decision"": ""retry"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,do_not_honor,Do not honor,Something went wrong. Try again or contact your bank
cybersource,Payment,Authorize,INVALID_DATA,Declined - One or more fields in the request contains invalid data,failure,,retry,2025-12-02 07:40:16,2025-12-23 13:57:30,false,UE_1000,Issue with Payment Method details,,false,"{""retry"": {""decision"": ""do_default"", ""step_up_possible"": false, ""clear_pan_possible"": false, ""alternate_network_possible"": false}}",retry,payment_method_issue,Issue with Payment Method details,Issue with Payment Method details
