connector,payment_method,payment_method_type,feature,description,hs_endpoint,cypress_test_status,prod_used,latest_prod_timestamp
aci,BankRedirect,Eft,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,BankRedirect,Eps,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,BankRedirect,Giropay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,BankRedirect,Ideal,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,BankRedirect,Interac,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,BankRedirect,Przelewy24,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,BankRedirect,Sofort,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,BankRedirect,Trustly,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,Card,Credit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,Card,Credit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
aci,Card,Debit,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
aci,Card,Debit,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),covered,no,
aci,PayLater,Klarna,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
aci,Wallet,AliPay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
aci,Wallet,MbWay,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,BankDebit,Ach,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,BankDebit,Ach,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,BankDebit,Bacs,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,BankDebit,Bacs,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,BankDebit,Sepa,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,not_covered,no,
adyen,BankDebit,Sepa,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,BankRedirect,BancontactCard,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
adyen,BankRedirect,BancontactCard,Mandate,Recurring/stored credential mandate setup for this connector + PM + PMT combination,POST /payments (setup_future_usage+mandate_data),not_covered,no,
adyen,BankRedirect,Bizum,Payment,Base payment authorization for this connector + PM + PMT combination,POST /payments,covered,no,
