introduced_in_tag,bucket,connector,pm,pmt,feature
2026.07.01.0,1,peachpayments,,,Network Transaction ID
2026.07.02.0,2,nuvei,NetworkToken,NetworkToken,Mandate
2026.07.02.0,2,nuvei,NetworkToken,NetworkToken,Payment
2026.07.03.0,1,peachpayments,,,Connector Intent Metadata
2026.07.08.1,1,tsys_transit,,,Authentication Flow
2026.07.08.1,1,tsys_transit,,,Balance Check Flow
2026.07.08.1,1,tsys_transit,,,Dispute Accept
2026.07.08.1,1,tsys_transit,,,Dispute Defend
2026.07.08.1,1,tsys_transit,,,Extended Authorization
2026.07.08.1,1,tsys_transit,,,Incremental Authorization
2026.07.08.1,1,tsys_transit,,,Order Create Flow
2026.07.08.1,1,tsys_transit,,,Post-Authentication Flow
2026.07.08.1,1,tsys_transit,,,Pre-Authentication Flow
2026.07.08.1,1,tsys_transit,,,Push Notification Flow
2026.07.08.1,1,tsys_transit,,,QR Code Generation Flow
2026.07.08.1,1,tsys_transit,,,Refund
2026.07.08.1,1,tsys_transit,,,Settlement Split Call
2026.07.08.1,2,tsys_transit,Card,Credit,Mandate
2026.07.08.1,2,tsys_transit,Card,Credit,Payment
2026.07.08.1,2,tsys_transit,Card,Debit,Mandate
2026.07.08.1,2,tsys_transit,Card,Debit,Payment
