introduced_in_tag,bucket,connector,pm,pmt,feature
2024.06.25.1,3,,,,merchant_account.pm_collect_link_config
2024.09.20.0,3,,,,business_profile.always_collect_billing_details_from_wallet_connector
2024.09.20.0,3,,,,business_profile.always_collect_shipping_details_from_wallet_connector
2024.09.20.0,3,,,,business_profile.applepay_verified_domains
2024.09.20.0,3,,,,business_profile.authentication_connector_details
2024.09.20.0,3,,,,business_profile.collect_billing_details_from_wallet_connector
2024.09.20.0,3,,,,business_profile.collect_shipping_details_from_wallet_connector
2024.09.20.0,3,,,,business_profile.default_fallback_routing
2024.09.20.0,3,,,,business_profile.dynamic_routing_algorithm
2024.09.20.0,3,,,,business_profile.enable_payment_response_hash
2024.09.20.0,3,,,,business_profile.extended_card_info_config
2024.09.20.0,3,,,,business_profile.frm_routing_algorithm
2024.09.20.0,3,,,,business_profile.frm_routing_algorithm_id
2024.09.20.0,3,,,,business_profile.intent_fulfillment_time
2024.09.20.0,3,,,,business_profile.is_connector_agnostic_mit_enabled
2024.09.20.0,3,,,,business_profile.is_extended_card_info_enabled
2024.09.20.0,3,,,,business_profile.is_network_tokenization_enabled
2024.09.20.0,3,,,,business_profile.is_recon_enabled
2024.09.20.0,3,,,,business_profile.is_tax_connector_enabled
2024.09.20.0,3,,,,business_profile.order_fulfillment_time
2024.09.20.0,3,,,,business_profile.order_fulfillment_time_origin
2024.09.20.0,3,,,,business_profile.outgoing_webhook_custom_http_headers
2024.09.20.0,3,,,,business_profile.payment_link_config
2024.09.20.0,3,,,,business_profile.payout_link_config
2024.09.20.0,3,,,,business_profile.payout_routing_algorithm
2024.09.20.0,3,,,,business_profile.redirect_to_merchant_with_http_post
2024.09.20.0,3,,,,business_profile.return_url
2024.09.20.0,3,,,,business_profile.routing_algorithm
2024.09.20.0,3,,,,business_profile.session_expiry
2024.09.20.0,3,,,,business_profile.tax_connector_id
2024.09.20.0,3,,,,business_profile.use_billing_as_payment_method_billing
2024.09.20.0,3,,,,business_profile.webhook_details
2024.09.30.0,3,,,,business_profile.is_auto_retries_enabled
2024.09.30.0,3,,,,business_profile.max_auto_retries_enabled
2024.11.11.0,3,,,,business_profile.should_collect_cvv_during_payment
2024.12.06.0,3,,,,business_profile.is_click_to_pay_enabled
2024.12.13.0,3,,,,business_profile.authentication_product_ids
2024.12.24.0,3,,,,merchant_account.is_platform_account
2025.01.27.0,1,airwallex,,,Preprocessing Flow
2025.01.27.0,1,bambora,,,Refund
2025.01.27.0,1,bankofamerica,,,Network Transaction ID
2025.01.27.0,1,bluesnap,,,Network Transaction ID
2025.01.27.0,1,cybersource,,,Incremental Authorization
2025.01.27.0,1,cybersource,,,Network Transaction ID
2025.01.27.0,1,cybersource,,,Preprocessing Flow
2025.01.27.0,1,cybersource,,,Step Up Authentication
2025.01.27.0,1,deutschebank,,,Refund
2025.01.27.0,1,digitalvirgo,,,Surcharge
2025.01.27.0,1,dlocal,,,Installments
2025.01.27.0,1,fiuu,,,Network Transaction ID
2025.01.27.0,1,gocardless,,,Preprocessing Flow
2025.01.27.0,1,nexixpay,,,Preprocessing Flow
2025.01.27.0,1,novalnet,,,Network Transaction ID
2025.01.27.0,1,shift4,,,Preprocessing Flow
2025.01.27.0,1,wellsfargo,,,Incremental Authorization
2025.01.27.0,1,wellsfargo,,,Network Transaction ID
2025.01.27.0,1,worldpay,,,Network Transaction ID
2025.01.27.0,2,bambora,Card,Credit,Payment
2025.01.27.0,2,bankofamerica,Wallet,ApplePay,Payment (Decrypt Flow)
2025.01.27.0,2,bankofamerica,Wallet,Paze,Payment (Decrypt Flow)
2025.01.27.0,2,cybersource,Wallet,ApplePay,Payment (Decrypt Flow)
2025.01.27.0,2,cybersource,Wallet,Paze,Payment (Decrypt Flow)
2025.01.27.0,2,deutschebank,BankDebit,Sepa,Mandate
2025.01.27.0,2,deutschebank,BankDebit,Sepa,Payment
2025.01.27.0,2,deutschebank,Card,Credit,Payment
2025.01.27.0,2,fiuu,Wallet,ApplePay,Payment (Decrypt Flow)
2025.01.27.0,2,fiuu,Wallet,Paze,Payment (Decrypt Flow)
2025.01.27.0,2,gocardless,Wallet,ApplePay,Payment (Decrypt Flow)
2025.01.27.0,2,gocardless,Wallet,Paze,Payment (Decrypt Flow)
2025.01.27.0,2,mollie,Wallet,ApplePay,Payment (Decrypt Flow)
2025.01.27.0,2,mollie,Wallet,Paze,Payment (Decrypt Flow)
2025.01.27.0,2,square,Wallet,ApplePay,Payment (Decrypt Flow)
2025.01.27.0,2,square,Wallet,Paze,Payment (Decrypt Flow)
2025.01.27.0,2,stax,Wallet,ApplePay,Payment (Decrypt Flow)
2025.01.27.0,2,stax,Wallet,Paze,Payment (Decrypt Flow)
2025.01.27.0,2,wellsfargo,Wallet,ApplePay,Payment (Decrypt Flow)
2025.01.27.0,2,wellsfargo,Wallet,Paze,Payment (Decrypt Flow)
2025.01.27.0,2,zsl,BankTransfer,LocalBankTransfer,Payment
2025.02.06.0,2,bankofamerica,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.06.0,2,cybersource,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.06.0,2,deutschebank,Card,Debit,Payment
2025.02.06.0,2,fiuu,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.06.0,2,gocardless,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.06.0,2,mollie,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.06.0,2,square,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.06.0,2,stax,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.06.0,2,wellsfargo,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.06.0,3,,,,business_profile.three_ds_decision_manager_config
2025.02.10.0,1,globalpay,,,Surcharge
2025.02.10.0,1,nuvei,,,Installments
2025.02.10.0,1,nuvei,,,Preprocessing Flow
2025.02.10.0,2,braintree,Wallet,ApplePay,Payment (Decrypt Flow)
2025.02.10.0,2,braintree,Wallet,GooglePay,Payment (Decrypt Flow)
2025.02.10.0,2,braintree,Wallet,Paze,Payment (Decrypt Flow)
2025.02.19.0,3,,,,business_profile.always_request_extended_authorization
2025.02.21.0,1,unified_authentication_service,,,Network Transaction ID
2025.02.21.0,1,xendit,,,Preprocessing Flow
2025.02.21.0,1,xendit,,,Split Payments
2025.02.21.0,1,xendit,,,Split Refunds
2025.02.26.0,1,bitpay,,,Refund
2025.02.26.0,1,digitalvirgo,,,Refund
2025.02.26.0,1,dlocal,,,Refund
2025.02.26.0,1,helcim,,,Refund
2025.02.26.0,1,mollie,,,Refund
2025.02.26.0,1,paybox,,,Refund
2025.02.26.0,1,payu,,,Refund
2025.02.26.0,1,razorpay,,,Refund
2025.02.26.0,1,volt,,,Refund
2025.02.26.0,2,bitpay,Crypto,CryptoCurrency,Payment
2025.02.26.0,2,digitalvirgo,MobilePayment,DirectCarrierBilling,Payment
2025.02.26.0,2,dlocal,Card,Credit,Payment
2025.02.26.0,2,dlocal,Card,Debit,Payment
2025.02.26.0,2,helcim,Card,Credit,Mandate
2025.02.26.0,2,helcim,Card,Credit,Payment
2025.02.26.0,2,helcim,Card,Debit,Mandate
2025.02.26.0,2,helcim,Card,Debit,Payment
2025.02.26.0,2,jpmorgan,Card,Credit,Payment
2025.02.26.0,2,jpmorgan,Card,Debit,Payment
2025.02.26.0,2,mifinity,Wallet,Mifinity,Payment
2025.02.26.0,2,mollie,BankDebit,Sepa,Payment
2025.02.26.0,2,mollie,BankRedirect,BancontactCard,Payment
2025.02.26.0,2,mollie,BankRedirect,Eps,Payment
2025.02.26.0,2,mollie,BankRedirect,Giropay,Payment
2025.02.26.0,2,mollie,BankRedirect,Ideal,Payment
2025.02.26.0,2,mollie,BankRedirect,Przelewy24,Payment
2025.02.26.0,2,mollie,BankRedirect,Sofort,Payment
2025.02.26.0,2,mollie,Card,Credit,Payment
2025.02.26.0,2,mollie,Card,Debit,Payment
2025.02.26.0,2,mollie,Wallet,ApplePay,Payment
2025.02.26.0,2,mollie,Wallet,Paypal,Payment
2025.02.26.0,2,paybox,Card,Credit,Mandate
2025.02.26.0,2,paybox,Card,Credit,Payment
2025.02.26.0,2,paybox,Card,Debit,Mandate
2025.02.26.0,2,paybox,Card,Debit,Payment
2025.02.26.0,2,payu,Card,Credit,Payment
2025.02.26.0,2,payu,Card,Debit,Payment
2025.02.26.0,2,payu,Wallet,ApplePay,Payment
2025.02.26.0,2,payu,Wallet,GooglePay,Payment
2025.02.26.0,2,razorpay,Upi,UpiCollect,Payment
2025.02.26.0,2,volt,BankRedirect,OpenBankingUk,Payment
2025.02.26.0,3,,,,business_profile.card_testing_guard_config
2025.02.26.0,3,,,,business_profile.card_testing_secret_key
2025.02.28.0,3,,,,merchant_account.product_type
2025.03.04.0,1,iatapay,,,Refund
2025.03.04.0,1,nexixpay,,,Refund
2025.03.04.0,1,square,,,Refund
2025.03.04.0,2,coinbase,Crypto,CryptoCurrency,Payment
2025.03.04.0,2,iatapay,BankRedirect,Ideal,Payment
2025.03.04.0,2,iatapay,BankRedirect,LocalBankRedirect,Payment
2025.03.04.0,2,iatapay,RealTimePayment,DuitNow,Payment
2025.03.04.0,2,iatapay,RealTimePayment,Fps,Payment
2025.03.04.0,2,iatapay,RealTimePayment,PromptPay,Payment
2025.03.04.0,2,iatapay,RealTimePayment,VietQr,Payment
2025.03.04.0,2,iatapay,Upi,UpiCollect,Payment
2025.03.04.0,2,iatapay,Upi,UpiIntent,Payment
2025.03.04.0,2,nexixpay,Card,Credit,Mandate
2025.03.04.0,2,nexixpay,Card,Credit,Payment
2025.03.04.0,2,nexixpay,Card,Debit,Mandate
2025.03.04.0,2,nexixpay,Card,Debit,Payment
