File Path,Size (bytes),Last Modified,Doc Type,Status,Description
memory-bank/activeContext.md,8695,2025-05-27,Core,Active,"Current development focus and ongoing initiatives"
memory-bank/crateIndex.md,13352,2025-05-27,Core,Active,"Index of all crates in the system"
memory-bank/finalization_review_pending.md,7949,2025-05-27,Process,Pending Review,"Documentation pending final review"
memory-bank/productContext.md,6893,2025-05-27,Core,Active,"Project purpose and problem domain description"
memory-bank/progress.md,8111,2025-05-27,Core,Active,"Project status and evolution tracking"
memory-bank/projectbrief.md,4125,2025-05-27,Core,Active,"Project vision, goals, and scope"
memory-bank/systemPatterns.md,6715,2025-05-27,Core,Active,"Architectural patterns used in the system"
memory-bank/techContext.md,7928,2025-05-27,Core,Active,"Technologies, frameworks, and dependencies"
memory-bank/thematic/crates/api_models/overview.md,10188,2025-05-27,Crate Overview,Active,"API models crate documentation"
memory-bank/thematic/crates/cards/overview.md,6403,2025-05-27,Crate Overview,Active,"Cards crate documentation"
memory-bank/thematic/crates/common_enums/overview.md,6984,2025-05-27,Crate Overview,Active,"Common enums crate documentation"
memory-bank/thematic/crates/common_types/overview.md,8319,2025-05-27,Crate Overview,Active,"Common types crate documentation"
memory-bank/thematic/crates/common_utils/overview.md,10996,2025-05-27,Crate Overview,Active,"Common utilities crate documentation"
memory-bank/thematic/crates/currency_conversion/overview.md,9694,2025-05-27,Crate Overview,Active,"Currency conversion crate documentation"
memory-bank/thematic/crates/diesel_models/overview.md,8384,2025-05-27,Crate Overview,Active,"Diesel models crate documentation"
memory-bank/thematic/crates/drainer/overview.md,8590,2025-05-27,Crate Overview,Active,"Drainer crate documentation"
memory-bank/thematic/crates/events/overview.md,6662,2025-05-27,Crate Overview,Active,"Events crate documentation"
memory-bank/thematic/crates/external_services/overview.md,8945,2025-05-27,Crate Overview,Active,"External services crate documentation"
memory-bank/thematic/crates/hyperswitch_connectors/overview.md,8375,2025-05-27,Crate Overview,Active,"Hyperswitch connectors crate documentation"
memory-bank/thematic/crates/hyperswitch_domain_models/overview.md,6963,2025-05-27,Crate Overview,Active,"Domain models crate documentation"
memory-bank/thematic/crates/hyperswitch_interfaces/additional_components.md,10615,2025-05-27,Component Guide,Active,"Additional components of hyperswitch interfaces"
memory-bank/thematic/crates/hyperswitch_interfaces/connector_integration.md,10135,2025-05-27,Integration Guide,Active,"Connector integration documentation"
memory-bank/thematic/crates/hyperswitch_interfaces/overview.md,9032,2025-05-27,Crate Overview,Active,"Hyperswitch interfaces crate documentation"
memory-bank/thematic/crates/hyperswitch_interfaces/webhook_handling.md,17864,2025-05-27,Feature Guide,Active,"Webhook handling documentation"
memory-bank/thematic/crates/masking/overview.md,9388,2025-05-27,Crate Overview,Active,"Masking crate documentation"
memory-bank/thematic/crates/payment_methods/overview.md,8286,2025-05-27,Crate Overview,Active,"Payment methods crate documentation"
memory-bank/thematic/crates/pm_auth/overview.md,9651,2025-05-27,Crate Overview,Active,"Payment auth crate documentation"
memory-bank/thematic/crates/redis_interface/overview.md,9382,2025-05-27,Crate Overview,Active,"Redis interface crate documentation"
memory-bank/thematic/crates/router/architecture/code_structure.md,7231,2025-05-27,Architecture Guide,Active,"Router code structure documentation"
memory-bank/thematic/crates/router/architecture/dependencies.md,9507,2025-05-27,Architecture Guide,Active,"Router dependencies documentation"
memory-bank/thematic/crates/router/architecture/entry_points.md,7505,2025-05-27,Architecture Guide,Active,"Router entry points documentation"
memory-bank/thematic/crates/router/configuration/feature_flags.md,7440,2025-05-27,Configuration Guide,Active,"Router feature flags documentation"
memory-bank/thematic/crates/router/configuration/routing_strategies.md,10537,2025-05-27,Configuration Guide,Active,"Routing strategies documentation"
memory-bank/thematic/crates/router/flows/payment_flows.md,9297,2025-05-27,Flow Guide,Active,"Payment flows documentation"
memory-bank/thematic/crates/router/flows/refund_flows.md,6829,2025-05-27,Flow Guide,Active,"Refund flows documentation"
memory-bank/thematic/crates/router/flows/webhook_flows.md,8324,2025-05-27,Flow Guide,Active,"Webhook flows documentation"
memory-bank/thematic/crates/router/modules/core.md,4941,2025-05-27,Module Guide,Active,"Router core modules documentation"
memory-bank/thematic/crates/router/modules/middleware.md,6889,2025-05-27,Module Guide,Active,"Router middleware documentation"
memory-bank/thematic/crates/router/modules/routes.md,6463,2025-05-27,Module Guide,Active,"Router routes documentation"
memory-bank/thematic/crates/router/modules/services.md,5571,2025-05-27,Module Guide,Active,"Router services documentation"
memory-bank/thematic/crates/router/overview.md,4588,2025-05-27,Crate Overview,Active,"Router crate overview documentation"
memory-bank/thematic/crates/router_derive/overview.md,7477,2025-05-27,Crate Overview,Active,"Router derive crate documentation"
memory-bank/thematic/crates/router_env/overview.md,7706,2025-05-27,Crate Overview,Active,"Router environment crate documentation"
memory-bank/thematic/crates/scheduler/overview.md,12610,2025-05-27,Crate Overview,Active,"Scheduler crate documentation"
memory-bank/thematic/crates/storage_impl/overview.md,9665,2025-05-27,Crate Overview,Active,"Storage implementation crate documentation"
memory-bank/thematic/documentation_process/memory_bank_generation_plan.md,6351,2025-05-27,Process Guide,Active,"Memory bank documentation generation planning"
memory-bank/thematic/project_management/file_size_management_guide.md,7462,2025-05-27,Process Guide,Active,"Guidelines for managing file sizes"
memory-bank/thematic/project_management/implementation_tracker.md,6121,2025-05-27,Process Guide,Active,"Implementation tracking documentation"
memory-bank/thematic/project_management/task_transition_template.md,3314,2025-05-27,Template,Active,"Template for task transitions"
